s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 3.7269247E-001, 0.0000000E+000, 4.7076597E-002, 1.7506045E-001, 4.5713154E-002, 0.0000000E+000, 0.0000000E+000,-2.9279263E+000,-2.6733482E+000,-2.6600761E+000, 0.0000000E+000, 3.5888949E-003
 3.7318751E-001, 0.0000000E+000, 4.6810008E-002, 1.7514443E-001, 4.9732608E-002, 0.0000000E+000, 0.0000000E+000,-2.9304598E+000,-2.6803491E+000,-2.6587727E+000, 0.0000000E+000, 3.5777290E-003
 3.7368259E-001, 0.0000000E+000, 4.7052682E-002, 1.7512312E-001, 4.6136659E-002, 0.0000000E+000, 0.0000000E+000,-2.9362985E+000,-2.6825961E+000,-2.6679861E+000, 0.0000000E+000, 3.6246459E-003
 3.7417763E-001, 0.0000000E+000, 4.7275430E-002, 1.7513636E-001, 4.7018500E-002, 0.0000000E+000, 0.0000000E+000,-2.9407997E+000,-2.6876604E+000,-2.6713694E+000, 0.0000000E+000, 3.6346023E-003
 3.7467271E-001, 0.0000000E+000, 4.7483174E-002, 1.7527240E-001, 4.8781484E-002, 0.0000000E+000, 0.0000000E+000,-2.9466403E+000,-2.6939216E+000,-2.6751032E+000, 0.0000000E+000, 3.6657534E-003
 3.7516779E-001, 0.0000000E+000, 4.7306560E-002, 1.7606921E-001, 4.6842829E-002, 0.0000000E+000, 0.0000000E+000,-2.9475883E+000,-2.6972801E+000,-2.6773697E+000, 0.0000000E+000, 3.7354475E-003
 3.7566283E-001, 0.0000000E+000, 4.7416671E-002, 1.7647092E-001, 4.7759535E-002, 0.0000000E+000, 0.0000000E+000,-2.9481910E+000,-2.6985808E+000,-2.6765438E+000, 0.0000000E+000, 3.7110869E-003
 3.7615791E-001, 0.0000000E+000, 4.7510481E-002, 1.7686228E-001, 4.5989171E-002, 0.0000000E+000, 0.0000000E+000,-2.9542053E+000,-2.6984728E+000,-2.6838434E+000, 0.0000000E+000, 3.7168063E-003
 3.7665299E-001, 0.0000000E+000, 4.7515040E-002, 1.7731613E-001, 4.7898995E-002, 0.0000000E+000, 0.0000000E+000,-2.9590808E+000,-2.7039367E+000,-2.6863506E+000, 0.0000000E+000, 3.6892430E-003
 3.7714803E-001, 0.0000000E+000, 4.7601048E-002, 1.7805197E-001, 4.9380764E-002, 0.0000000E+000, 0.0000000E+000,-2.9635693E+000,-2.7085970E+000,-2.6885355E+000, 0.0000000E+000, 3.7139206E-003
 3.7764311E-001, 0.0000000E+000, 4.7690962E-002, 1.7872237E-001, 5.0779409E-002, 0.0000000E+000, 0.0000000E+000,-2.9649867E+000,-2.7112236E+000,-2.6877939E+000, 0.0000000E+000, 3.7387290E-003
 3.7813815E-001, 0.0000000E+000, 4.8290236E-002, 1.7942262E-001, 5.1988733E-002, 0.0000000E+000, 0.0000000E+000,-2.9715787E+000,-2.7109758E+000,-2.6918771E+000, 0.0000000E+000, 3.7191887E-003
 3.7863323E-001, 0.0000000E+000, 4.7467595E-002, 1.8027371E-001, 5.0700937E-002, 0.0000000E+000, 0.0000000E+000,-2.9728973E+000,-2.7161986E+000,-2.6944550E+000, 0.0000000E+000, 3.7507563E-003
 3.7912831E-001, 0.0000000E+000, 4.7840587E-002, 1.8104143E-001, 5.1852875E-002, 0.0000000E+000, 0.0000000E+000,-2.9769868E+000,-2.7189976E+000,-2.6962519E+000, 0.0000000E+000, 3.7762327E-003
 3.7962335E-001, 0.0000000E+000, 4.8454224E-002, 1.8171843E-001, 4.7536791E-002, 0.0000000E+000, 0.0000000E+000,-2.9838589E+000,-2.7190542E+000,-2.7061494E+000, 0.0000000E+000, 3.7518175E-003
 3.8011843E-001, 0.0000000E+000, 4.7595259E-002, 1.8263606E-001, 4.8195366E-002, 0.0000000E+000, 0.0000000E+000,-2.9864983E+000,-2.7276618E+000,-2.7080717E+000, 0.0000000E+000, 3.7464337E-003
 3.8061351E-001, 0.0000000E+000, 4.7823931E-002, 1.8290922E-001, 5.0523732E-002, 0.0000000E+000, 0.0000000E+000,-2.9883505E+000,-2.7295733E+000,-2.7070937E+000, 0.0000000E+000, 3.7792840E-003
 3.8110855E-001, 0.0000000E+000, 4.8746406E-002, 1.8353351E-001, 4.8759225E-002, 0.0000000E+000, 0.0000000E+000,-2.9944453E+000,-2.7303460E+000,-2.7134062E+000, 0.0000000E+000, 3.7872452E-003
 3.8160363E-001, 0.0000000E+000, 4.8156527E-002, 1.8409539E-001, 5.1661715E-002, 0.0000000E+000, 0.0000000E+000,-2.9979594E+000,-2.7361120E+000,-2.7140457E+000, 0.0000000E+000, 3.7879390E-003
 3.8209867E-001, 0.0000000E+000, 4.8119996E-002, 1.8485200E-001, 5.0808341E-002, 0.0000000E+000, 0.0000000E+000,-3.0018814E+000,-2.7383109E+000,-2.7181011E+000, 0.0000000E+000, 3.8071589E-003
 3.8259375E-001, 0.0000000E+000, 4.8998443E-002, 1.8555624E-001, 4.7668877E-002, 0.0000000E+000, 0.0000000E+000,-3.0067442E+000,-2.7415233E+000,-2.7245207E+000, 0.0000000E+000, 3.8305365E-003
 3.8308883E-001, 0.0000000E+000, 4.8565456E-002, 1.8594209E-001, 4.8428891E-002, 0.0000000E+000, 0.0000000E+000,-3.0110507E+000,-2.7472714E+000,-2.7281143E+000, 0.0000000E+000, 3.7813017E-003
 3.8358387E-001, 0.0000000E+000, 4.8531926E-002, 1.8665961E-001, 4.7950324E-002, 0.0000000E+000, 0.0000000E+000,-3.0161874E+000,-2.7510158E+000,-2.7330456E+000, 0.0000000E+000, 3.7491798E-003
 3.8407895E-001, 0.0000000E+000, 4.8384239E-002, 1.8723221E-001, 5.0239396E-002, 0.0000000E+000, 0.0000000E+000,-3.0213278E+000,-2.7543453E+000,-2.7354720E+000, 0.0000000E+000, 3.7030173E-003
